pressure,global_radiation,temp_mean,temp_min,temp_max,wind_speed,wind_bearing,normalized_label
991.8,0.95,12.9,10.4,15.4,7.66,169,0
991.8,0.95,12.9,10.4,15.4,20.93,350,2
991.9,0.23,9.8,6.1,13.4,27.37,350,2
991.9,0.23,9.8,6.1,13.4,10.59,100,0
991.9,0.32,7.5,3.2,10.9,27.37,350,2
991.9,0.32,7.5,3.2,10.9,10.59,100,0
991.9,0.38,14.2,11.8,16.5,27.37,350,2
991.9,0.38,14.2,11.8,16.5,10.59,100,0
991.9,0.18,10.2,7.1,14.3,27.37,350,2
991.9,0.18,10.2,7.1,14.3,10.59,100,0
991.9,0.32,3.5,0.6,5.0,27.37,350,2
991.9,0.32,3.5,0.6,5.0,10.59,100,0
991.9,0.06,4.7,0.8,9.2,27.37,350,2
991.9,0.06,4.7,0.8,9.2,10.59,100,0
992.0,0.38,9.2,7.3,12.0,9.6,321,1
992.0,0.38,9.2,7.3,12.0,11.54,64,1
992.0,0.38,9.2,7.3,12.0,11.43,293,1
992.0,0.38,9.2,7.3,12.0,8.05,140,1
992.0,0.13,10.8,8.5,13.2,9.6,321,1
992.0,0.13,10.8,8.5,13.2,11.54,64,1
992.0,0.13,10.8,8.5,13.2,11.43,293,1
992.0,0.13,10.8,8.5,13.2,8.05,140,1
992.0,1.18,11.2,8.5,17.0,9.6,321,0
992.0,1.18,11.2,8.5,17.0,11.54,64,0
992.0,1.18,11.2,8.5,17.0,11.43,293,0
992.0,1.18,11.2,8.5,17.0,8.05,140,0
992.0,0.5,10.3,8.1,12.2,9.6,321,0
992.0,0.5,10.3,8.1,12.2,11.54,64,0
992.0,0.5,10.3,8.1,12.2,11.43,293,0
992.0,0.5,10.3,8.1,12.2,8.05,140,0
992.0,1.29,12.9,7.4,19.7,9.6,321,0
992.0,1.29,12.9,7.4,19.7,11.54,64,0
992.0,1.29,12.9,7.4,19.7,11.43,293,0
992.0,1.29,12.9,7.4,19.7,8.05,140,0
992.0,1.11,5.9,3.4,9.2,9.6,321,0
992.0,1.11,5.9,3.4,9.2,11.54,64,0
992.0,1.11,5.9,3.4,9.2,11.43,293,0
992.0,1.11,5.9,3.4,9.2,8.05,140,0
992.0,0.35,8.2,6.6,10.2,9.6,321,0
992.0,0.35,8.2,6.6,10.2,11.54,64,0
992.0,0.35,8.2,6.6,10.2,11.43,293,0
992.0,0.35,8.2,6.6,10.2,8.05,140,0
992.0,0.19,6.5,4.9,8.1,9.6,321,0
992.0,0.19,6.5,4.9,8.1,11.54,64,0
992.0,0.19,6.5,4.9,8.1,11.43,293,0
992.0,0.19,6.5,4.9,8.1,8.05,140,0
992.0,0.12,10.2,7.5,13.5,9.6,321,0
992.0,0.12,10.2,7.5,13.5,11.54,64,0
992.0,0.12,10.2,7.5,13.5,11.43,293,0
992.0,0.12,10.2,7.5,13.5,8.05,140,0
992.0,0.87,9.3,6.0,11.9,9.6,321,0
992.0,0.87,9.3,6.0,11.9,11.54,64,0
992.0,0.87,9.3,6.0,11.9,11.43,293,0
992.0,0.87,9.3,6.0,11.9,8.05,140,0
992.0,0.11,2.5,0.2,4.6,9.6,321,0
992.0,0.11,2.5,0.2,4.6,11.54,64,0
992.0,0.11,2.5,0.2,4.6,11.43,293,0
992.0,0.11,2.5,0.2,4.6,8.05,140,0
992.0,0.11,3.7,1.4,5.9,9.6,321,0
992.0,0.11,3.7,1.4,5.9,11.54,64,0
992.0,0.11,3.7,1.4,5.9,11.43,293,0
992.0,0.11,3.7,1.4,5.9,8.05,140,0
992.1,1.19,3.2,1.3,7.1,14.49,150,1
992.1,1.19,3.2,1.3,7.1,11.27,250,1
992.1,1.19,3.2,1.3,7.1,11.27,260,1
992.1,1.19,3.2,1.3,7.1,3.22,130,1
992.1,1.19,3.2,1.3,7.1,25.76,350,3
992.1,1.19,3.2,1.3,7.1,10.38,214,1
992.1,0.37,5.2,3.3,8.2,14.49,150,1
992.1,0.37,5.2,3.3,8.2,11.27,250,1
992.1,0.37,5.2,3.3,8.2,11.27,260,1
992.1,0.37,5.2,3.3,8.2,3.22,130,1
992.1,0.37,5.2,3.3,8.2,25.76,350,3
992.1,0.37,5.2,3.3,8.2,10.38,214,1
992.1,0.08,2.1,-1.2,3.5,14.49,150,0
992.1,0.08,2.1,-1.2,3.5,11.27,250,0
992.1,0.08,2.1,-1.2,3.5,11.27,260,0
992.1,0.08,2.1,-1.2,3.5,3.22,130,0
992.1,0.08,2.1,-1.2,3.5,25.76,350,2
992.1,0.08,2.1,-1.2,3.5,10.38,214,0
992.1,0.98,10.1,4.7,16.0,14.49,150,0
992.1,0.98,10.1,4.7,16.0,11.27,250,0
992.1,0.98,10.1,4.7,16.0,11.27,260,0
992.1,0.98,10.1,4.7,16.0,3.22,130,0
992.1,0.98,10.1,4.7,16.0,25.76,350,2
992.1,0.98,10.1,4.7,16.0,10.38,214,0
992.1,0.23,2.2,0.4,2.9,14.49,150,0
992.1,0.23,2.2,0.4,2.9,11.27,250,0
992.1,0.23,2.2,0.4,2.9,11.27,260,0
992.1,0.23,2.2,0.4,2.9,3.22,130,0
992.1,0.23,2.2,0.4,2.9,25.76,350,2
992.1,0.23,2.2,0.4,2.9,10.38,214,0
992.2,0.73,6.5,2.3,10.3,11.27,170,1
992.2,0.73,6.5,2.3,10.3,11.16,176,1
992.2,0.73,6.5,2.3,10.3,22.54,250,3
992.2,0.73,6.5,2.3,10.3,9.66,280,1
992.2,0.73,6.5,2.3,10.3,8.05,110,1
992.2,0.73,6.5,2.3,10.3,17.71,20,3
992.2,0.73,6.5,2.3,10.3,12.88,340,1
992.2,0.73,6.5,2.3,10.3,16.07,169,3
992.2,0.46,2.0,-0.8,4.9,11.27,170,0
992.2,0.46,2.0,-0.8,4.9,11.16,176,0
992.2,0.46,2.0,-0.8,4.9,22.54,250,2
992.2,0.46,2.0,-0.8,4.9,9.66,280,0
992.2,0.46,2.0,-0.8,4.9,8.05,110,0
992.2,0.46,2.0,-0.8,4.9,17.71,20,2
992.2,0.46,2.0,-0.8,4.9,12.88,340,0
992.2,0.46,2.0,-0.8,4.9,16.07,169,2
992.2,0.12,7.2,5.4,8.5,11.27,170,0
992.2,0.12,7.2,5.4,8.5,11.16,176,0
992.2,0.12,7.2,5.4,8.5,22.54,250,2
992.2,0.12,7.2,5.4,8.5,9.66,280,0
992.2,0.12,7.2,5.4,8.5,8.05,110,0
992.2,0.12,7.2,5.4,8.5,17.71,20,2
992.2,0.12,7.2,5.4,8.5,12.88,340,0
992.2,0.12,7.2,5.4,8.5,16.07,169,2
992.2,1.19,2.9,1.1,5.2,11.27,170,0
992.2,1.19,2.9,1.1,5.2,11.16,176,0
992.2,1.19,2.9,1.1,5.2,22.54,250,2
992.2,1.19,2.9,1.1,5.2,9.66,280,0
992.2,1.19,2.9,1.1,5.2,8.05,110,0
992.2,1.19,2.9,1.1,5.2,17.71,20,2
